회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
바디텍메드,206640,의료용품 및 기타 의약관련제품 제조업,기업인수합병,2014-12-29,12월,최의열,,강원도
썸에이지,208640,소프트웨어 개발 및 공급업,기업인수합병,2014-12-29,12월,백 승 훈,,경기도
와이제이엠게임즈,193250,전자부품 제조업,휴대폰용 진동모터,2014-12-29,12월,민용재,http://www.ybcm.kr,서울특별시
화이브라더스,204630,창작 및 예술관련 서비스업,매니지먼트 및 드라마 영화제작업,2014-12-29,12월,지승범,http://www.som2005.co.kr,서울특별시
하이셈,200470,"그외 기타 전문, 과학 및 기술 서비스업",메모리 반도체 테스트,2014-12-26,12월,장성호,http://www.hisem.co.kr,경기도
휴메딕스,200670,의약품 제조업,"히알루론산 관절염치료제, 히알루론산 더말필러",2014-12-26,12월,윤성태,http://www.humedix.com,경기도
바이오로그디바이스,208710,전자부품 제조업,기업인수합병,2014-12-24,12월,"이재선, 윤형진",,경기도
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",수배전반,2014-12-24,12월,김용걸,http://www.sjem.co.kr,경기도
아스트,067390,"항공기,우주선 및 부품 제조업",항공기용 부품 제조 및 동체 조립,2014-12-24,12월,김희원,http://www.astk.co.kr,경상남도
오킨스전자,080580,전자부품 제조업,반도체 검사용 소켓,2014-12-24,12월,전진국,http://www.okins.co.kr,경기도
지란지교시큐리티,208350,소프트웨어 개발 및 공급업,기업인수합병,2014-12-24,12월,윤두식,,서울특별시
하나머스트3호스팩,208870,금융지원 서비스업,기업인수합병,2014-12-24,12월,임호원,,서울특별시
NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 투자 및 배급,2014-12-23,12월,김우택,http://www.its-new.co.kr,서울특별시
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",시스템통합 및 IT서비스,2014-12-23,12월,강진모,http://www.itcen.co.kr,서울특별시
녹십자엠에스,142280,의료용품 및 기타 의약관련제품 제조업,"혈액백, 진단시약, 혈액투석액",2014-12-17,12월,김영필,http://www.greencrossms.com,경기도
디티앤씨,187220,기타 과학기술 서비스업,전기전자규격 인증서비스,2014-12-17,12월,박채규,http://www.dtnc.co.kr,경기도
셀바스헬스케어,208370,의료용 기기 제조업,"체성분측정기, 혈압계, 점자정보단말기",2014-12-17,12월,"유병탁, 권철중(각자 대표이사)",http://www.selvashealthcare.com,대전광역시
엔에이치SL스팩,207720,금융지원 서비스업,기업 인수 합병,2014-12-17,12월,김종욱,,서울특별시
정다운,208140,"도축, 육류 가공 및 저장 처리업",기업 인수 및 합병,2014-12-17,12월,김 선 철,,전라남도
하이로닉,149980,의료용 기기 제조업,피부미용 의료기기,2014-12-17,12월,이진우,http://www.hironic.com,경기도
랩지노믹스,084650,자연과학 및 공학 연구개발업,체외진단 서비스 및 제품,2014-12-16,12월,진승현,http://www.labgenomics.co.kr,경기도
에이디테크놀로지,200710,반도체 제조업,주문형 반도체,2014-12-16,12월,김준석,http://www.adtek.co.kr,경기도
비씨월드제약,200780,의약품 제조업,"마취통증약, 순환계약, 항생제, 기타처방약",2014-12-15,12월,홍성한,http://www.bcwp.co.kr,경기도
미스터블루,207760,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판",2014-12-12,12월,조승진,http://www.mrblue.com,서울특별시
알테오젠,196170,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터,2014-12-12,12월,박순재,http://www.alteogen.com,대전광역시
엔터메이트,206400,소프트웨어 개발 및 공급업,"웹게임, 모바일게임",2014-12-10,12월,이태현,http://www.entermate.com,서울특별시
SKC코오롱PI,178920,플라스틱제품 제조업,PI필름,2014-12-08,12월,박기동,http://www.skckolonpi.com,충청북도
대창스틸,140520,1차 철강 제조업,"냉연강판, 이중바닥재",2014-12-05,12월,"문창복, 문경석",http://www.dcsteel.com,인천광역시
에프엔씨엔터,173940,오디오물 출판 및 원판 녹음업,"콘서트, 음반/음원",2014-12-04,12월,한성호,http://www.fncent.com,서울특별시
하이제2호스팩,205470,금융지원 서비스업,기업인수합병,2014-12-01,12월,김준민,,서울특별시
케이티비스팩1호,204650,금융지원 서비스업,기업인수,2014-11-24,12월,정명호,,서울특별시
텔콘,200230,통신 및 방송 장비 제조업,"RF 통신부품(케이블 어셈블리, 커넥터 등)",2014-11-24,12월,김정민,http://www.telcon.co.kr,경기도
